Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Petal.Area,new_col,new_col2
6.4,2.7,5.3,1.9,virginica,10.069999999999999,words,more words
6.8,3,5.5,2.1,virginica,11.55,words,more words
5.7,2.5,5,2,virginica,10,words,more words
5.8,2.8,5.1,2.4,virginica,12.239999999999998,words,more words
6.4,3.2,5.3,2.3,virginica,12.19,words,more words
6.5,3,5.5,1.8,virginica,9.9,words,more words
7.7,3.8,6.7,2.2,virginica,14.740000000000002,words,more words
7.7,2.6,6.9,2.3,virginica,15.87,words,more words
6,2.2,5,1.5,virginica,7.5,words,more words
6.9,3.2,5.7,2.3,virginica,13.11,words,more words
5.6,2.8,4.9,2,virginica,9.8,words,more words
7.7,2.8,6.7,2,virginica,13.4,words,more words
6.3,2.7,4.9,1.8,virginica,8.82,words,more words
6.7,3.3,5.7,2.1,virginica,11.97,words,more words
7.2,3.2,6,1.8,virginica,10.8,words,more words
6.2,2.8,4.8,1.8,virginica,8.64,words,more words
6.1,3,4.9,1.8,virginica,8.82,words,more words
6.4,2.8,5.6,2.1,virginica,11.76,words,more words
7.2,3,5.8,1.6,virginica,9.28,words,more words
7.4,2.8,6.1,1.9,virginica,11.589999999999998,words,more words
7.9,3.8,6.4,2,virginica,12.8,words,more words
6.4,2.8,5.6,2.2,virginica,12.32,words,more words
6.3,2.8,5.1,1.5,virginica,7.6499999999999995,words,more words
6.1,2.6,5.6,1.4,virginica,7.839999999999999,words,more words
7.7,3,6.1,2.3,virginica,14.029999999999998,words,more words
6.3,3.4,5.6,2.4,virginica,13.44,words,more words
6.4,3.1,5.5,1.8,virginica,9.9,words,more words
6,3,4.8,1.8,virginica,8.64,words,more words
6.9,3.1,5.4,2.1,virginica,11.340000000000002,words,more words
6.7,3.1,5.6,2.4,virginica,13.44,words,more words
6.9,3.1,5.1,2.3,virginica,11.729999999999999,words,more words
5.8,2.7,5.1,1.9,virginica,9.69,words,more words
6.8,3.2,5.9,2.3,virginica,13.57,words,more words
6.7,3.3,5.7,2.5,virginica,14.25,words,more words
6.7,3,5.2,2.3,virginica,11.959999999999999,words,more words
6.3,2.5,5,1.9,virginica,9.5,words,more words
6.5,3,5.2,2,virginica,10.4,words,more words
6.2,3.4,5.4,2.3,virginica,12.42,words,more words
5.9,3,5.1,1.8,virginica,9.18,words,more words
